username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
TiffanyPhoto1,"LAFD Fire Fighter’s 🚒Wife •Mommy to 5 •Photographer •SHARING MY @Tesla #Tesla Full ReRoof +PV Nightmare, Major Damages, Negligence, Harassment & Stalking!","San Diego, CA",1317,459,6283,2019-05-11 22:11:54,2020-07-06 04:31:32,1,"- @TiffanyPhoto1’s complaint against #Tesla Solar uploaded by @PlainSite, disproves cultists’ accusations that hers is a fake account or that her issues are fake 
- @nikolatrevor to be interviewed on TC Chartcast h/t @TESLACharts
- Musk pumps more factories
$TSLAQ 3/4","[{'text': 'Tesla', 'indices': [53, 59]}]"
Kiana__Danial,"I show busy moms how to invest in crypto & stocks with confidence without doing any math👩‍👧‍👦 Author 📚 CEO @InvestDiva. Featured on Forbes, FOX, CNN,Nasdaq","New York, USA",94,1162,4312,2012-12-25 16:42:37,2020-07-06 04:28:20,0,"Tesla Stock Analysis for July 2020 | Will it Crash Again or Did You Miss Out? https://t.co/PKwiA2Sj0N
#TSLA #stocks #StocksToTrade #Tesla https://t.co/uiX1rXdVP9","[{'text': 'TSLA', 'indices': [102, 107]}, {'text': 'stocks', 'indices': [108, 115]}, {'text': 'StocksToTrade', 'indices': [116, 130]}, {'text': 'Tesla', 'indices': [131, 137]}]"
SickNTwisted9,"¡puƎ ǝɥʇ ʇ,uı∀ ʇI 'ʇɥɓıɹl∀ ʇ,uı∀ ʇı ɟI 'puƎ ǝɥʇ uı ʇɥɓıɹl∀ ǝq llıʍ ɓuıɥʇʎɹǝʌƎ

#KJV #Husband #Dad #Papa #Brother #Trumper #Patriot #KAG

- Oderint, dum metuant","TX, USA qmap.pub",1025,877,6627,2020-03-26 09:39:04,2020-07-06 04:27:46,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [106, 112]}, {'text': 'tesla', 'indices': [113, 119]}, {'text': 'the1111code', 'indices': [120, 132]}]"
MagazineTesla,"We provide news on #TeslaModel3, #SpaceX, #TeslaEnergy and #newmobilities. Since 2013 in Paris 🇫🇷 2020 for the world 🌍.
News - Club - Lifestyle / independent",France,3114,7596,8058,2013-05-30 11:49:52,2020-07-06 04:27:22,0,As you know Tesla Magazine has the best Icon worldwide of any magazine. How many short shorts for Maureen are you sponsoring ? - PayPal link in MP! #sponsor #globalrollout #shorts #sexy #tesla #teslamag https://t.co/dD8gqAOKdI,"[{'text': 'sponsor', 'indices': [148, 156]}, {'text': 'globalrollout', 'indices': [157, 171]}, {'text': 'shorts', 'indices': [172, 179]}, {'text': 'sexy', 'indices': [180, 185]}, {'text': 'tesla', 'indices': [186, 192]}, {'text': 'teslamag', 'indices': [193, 202]}]"
MmeDePlorable,Proud mother of 5 children. In love with my man. Accomplished entrepreneur and life-long economic conservative. Love my Tesla 💙💖,"Santa Barbara, CA",189,48,516,2017-02-19 03:20:14,2020-07-06 04:26:59,0,"@elonmusk $tsla  #Tesla  Shall we just kindly ignore them?
https://t.co/1zHIVLKbnR","[{'text': 'Tesla', 'indices': [17, 23]}]"
EmperorBlargus,,,5002,2367,183298,2008-06-13 18:32:16,2020-07-06 04:25:47,7,Happy 4th everyone! 🇺🇸 #tesla #model3 @Tesla @elonmusk #4thofJuly https://t.co/J1arcRleXG,"[{'text': 'tesla', 'indices': [44, 50]}, {'text': 'model3', 'indices': [51, 58]}, {'text': '4thofJuly', 'indices': [76, 86]}]"
EforElectric,"Electric car news, tips, reviews and commentaries","San Jose, CA",243,2906,3875,2017-02-22 02:32:27,2020-07-06 04:24:57,1,"Let's talk about how @Tesla surprised even its biggest fans, how @Toyota has competed with my dating life and other EV news, with our channel contributor @tommolog: https://t.co/p90asoOxSj

#ev #news #tesla #electriccar https://t.co/myzIUuHKWF","[{'text': 'ev', 'indices': [190, 193]}, {'text': 'news', 'indices': [194, 199]}, {'text': 'tesla', 'indices': [200, 206]}, {'text': 'electriccar', 'indices': [207, 219]}]"
coronav08481151,Invading your local community,,62,7,31,2020-03-17 20:08:59,2020-07-06 04:24:34,1,Hopefully my girl friend will like those new #tesla booty shorts I got her @elonmusk,"[{'text': 'tesla', 'indices': [63, 69]}]"
RobinHoodie9,student of the market. one of the Robinhood market noobs.,,132,19,131,2020-03-09 23:27:45,2020-07-06 04:23:03,1,Hopefully my girl friend will like those new #tesla booty shorts I got her @elonmusk,"[{'text': 'tesla', 'indices': [45, 51]}]"
LavryAdam84,love 🏀 and some 😆‼,,419,105,14735,2013-12-14 09:54:16,2020-07-06 04:23:03,0,@OrgPhysics #Tesla though,"[{'text': 'Tesla', 'indices': [12, 18]}]"
iotcoi,"Founder, owner, geek, and technologist. #B2B #Enterprise #Technology #IoT #AI #ML #robotics #autonomous #industry40 Tweets are my own!",Berlin ,872,987,3193,2013-08-06 18:50:28,2020-07-06 04:22:07,0,#Tesla shorts for 69’420$ ... and people are really buying them 😂 https://t.co/AFhh75lvqs,"[{'text': 'Tesla', 'indices': [0, 6]}]"
REDuncan1,REPUBLICAN MALE,,730,442,15379,2019-02-28 03:41:12,2020-07-06 04:19:45,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [106, 112]}, {'text': 'tesla', 'indices': [113, 119]}, {'text': 'the1111code', 'indices': [120, 132]}]"
GretaYacht,"My yacht is powered by all natural, clean burning unicorn farts.",,46,1161,2597,2019-11-05 15:55:19,2020-07-06 04:18:29,1,"- @TiffanyPhoto1’s complaint against #Tesla Solar uploaded by @PlainSite, disproves cultists’ accusations that hers is a fake account or that her issues are fake 
- @nikolatrevor to be interviewed on TC Chartcast h/t @TESLACharts
- Musk pumps more factories
$TSLAQ 3/4","[{'text': 'Tesla', 'indices': [37, 43]}]"
GretaYacht,"My yacht is powered by all natural, clean burning unicorn farts.",,46,1161,2597,2019-11-05 15:55:19,2020-07-06 04:18:29,0,"- 3rd ship to EU for Q2 confirmed, #Tesla EU inventory “&gt;&gt;6k”, update soon h/t @fly4dat
- @lorakolodny w/ thread on the importance of addressing the relationship between Elon Musk &amp; Ghislaine Maxwell
$TSLAQ 2/4","[{'text': 'Tesla', 'indices': [35, 41]}]"
GretaYacht,"My yacht is powered by all natural, clean burning unicorn farts.",,46,1161,2597,2019-11-05 15:55:19,2020-07-06 04:18:29,4,"News for $TSLAQ today:
- Chinese #Tesla Model 3 on #Autopilot crashes into BYD electric truck h/t @DKurac @StultusVox
- Tesla cultists’ response to @Paul91701736’s massive inventory thread: It’s to ensure there’s enough supply to satisfy high demand
1/4","[{'text': 'Tesla', 'indices': [33, 39]}, {'text': 'Autopilot', 'indices': [51, 61]}]"
unadave,"Free thinker interested in technology, photography, mathematics, music, sports, adventure, travel....","Austin, TX",280,350,1626,2008-11-29 01:13:53,2020-07-06 04:18:11,0,Valet jumping my Tesla S Performance with ludicrous mode into a concrete wall!! https://t.co/qkNulzC9hh #tesla  @elonmusk,"[{'text': 'tesla', 'indices': [104, 110]}]"
the1111code,Physics whiz 2 the electric power biz. Author:The 11:11 Code. IFB all #Q #the1111code Q#907-3585. Luke 10:19. Both grampas fought WW2 🇺🇸https://t.co/bYZUTW34OO,Wisconsin USA,5865,11564,2362,2020-02-12 23:04:49,2020-07-06 04:18:05,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [89, 95]}, {'text': 'tesla', 'indices': [96, 102]}, {'text': 'the1111code', 'indices': [103, 115]}]"
teslaagirl,"Fan of @Tesla & @ElonMusk, $TSLA Investor. 7xTesla, 2xSolar, 3xPowerWall owner #ZeroICEGarage",United States,45,1838,3343,2017-03-16 02:33:08,2020-07-06 04:17:16,7,Happy 4th everyone! 🇺🇸 #tesla #model3 @Tesla @elonmusk #4thofJuly https://t.co/J1arcRleXG,"[{'text': 'tesla', 'indices': [44, 50]}, {'text': 'model3', 'indices': [51, 58]}, {'text': '4thofJuly', 'indices': [76, 86]}]"
markusvrieling,,Romania,108,67,1310,2009-04-18 09:27:03,2020-07-06 04:15:01,0,Tesla Is Leading The Charge In A Battery Revolution https://t.co/2WD09y2BM1 #tesla,"[{'text': 'tesla', 'indices': [76, 82]}]"
GutznGlory,❤️#Tennis ❤#RafaelNadal. Student of #ValueInvesting. ❤️Mother Nature. #Minimalist. Support honest & efficient governance 🇺🇸 🇨🇦,"New York, NY",302,230,48146,2010-06-27 17:30:14,2020-07-06 04:13:24,0,Never saw this coming from #Tesla 😆 https://t.co/AmfvY5fSd7,"[{'text': 'Tesla', 'indices': [27, 33]}]"
GaryBarlough,"Interested in things that connect us. Disinterested in things that separate us.   Composer, Producer, Grammy winner",Los Angeles * USC Music ,120,129,549,2010-06-05 05:34:07,2020-07-06 04:08:57,0,"I highly recommend this video.  We must focus on what is happening to our Mother Earth! #EarthDay  #Earth #climatechangeawareness #Tesla 

International Day for the Conservation of Tropical Forests: Highlighting... https://t.co/OTL8qroXxK via @YouTube","[{'text': 'EarthDay', 'indices': [88, 97]}, {'text': 'Earth', 'indices': [99, 105]}, {'text': 'climatechangeawareness', 'indices': [106, 129]}, {'text': 'Tesla', 'indices': [130, 136]}]"
TiffanyPhoto1,"LAFD Fire Fighter’s 🚒Wife •Mommy to 5 •Photographer •SHARING MY @Tesla #Tesla Full ReRoof +PV Nightmare, Major Damages, Negligence, Harassment & Stalking!","San Diego, CA",1317,459,6283,2019-05-11 22:11:54,2020-07-06 04:04:49,9,"My Complaint against @Tesla Inc dba Tesla Motors
Today is Day 507 of Teslas substandard Workmanship, Failure to obtain REQUIRED Permits, Failure to Abide by Contractors Law State City Codes+Reg, leaving us w Major Damages+Health Hazards
$TSLA $TSLAQ #Tesla
https://t.co/lF3QoNdUyE",[]
aidan_fryling,,,17,10,4,2016-05-28 01:55:52,2020-07-06 04:04:44,3,@elonmusk how many days do i have to wear these to get a free tesla from you? #Tesla #SpaceX #elonmusk #giveaway #freecar #Cybertruck https://t.co/pOdqgyMZhy,"[{'text': 'Tesla', 'indices': [97, 103]}, {'text': 'SpaceX', 'indices': [104, 111]}, {'text': 'elonmusk', 'indices': [112, 121]}, {'text': 'giveaway', 'indices': [122, 131]}]"
EvenHw3,,,131,18,633,2017-04-07 22:22:22,2020-07-06 04:03:35,0,"my drive unit hisses at a certain power but constantly, has anyone ever experienced this? I'm almost sure it's the drive unit. #Tesla #Model3 #ElonMusk it's really tiny as a wake but when you hear it, you just hear the wake","[{'text': 'Tesla', 'indices': [127, 133]}, {'text': 'Model3', 'indices': [134, 141]}, {'text': 'ElonMusk', 'indices': [142, 151]}]"
EarthAccounting,#sustainability #ConsciousConsumer #transparency #environment  #CircularEconomy #recycling https://t.co/PXoP0W5Stx @zeloop_ @environemma,"Los Angeles, CA",20890,21834,124133,2014-05-27 17:27:47,2020-07-06 04:03:22,3,"#Tesla trumps Toyota, and signals end of Ice-Age for two trillion-dollar industries https://t.co/5Ct7E6XB7j","[{'text': 'Tesla', 'indices': [18, 24]}]"
EveryoneSaysHi1,"Interested in sociopathic Business Models, leadership by intimidation and the protection of whistle blowers.",,3763,645,23250,2018-11-30 17:52:53,2020-07-06 04:00:30,6,SEO Thread: Imbecile... or something else? This is a render from 2017. #Tesla $TSLAQ 1/10 https://t.co/nPHVV1wsE2,"[{'text': 'Tesla', 'indices': [87, 93]}]"
carguideph,"https://t.co/dNI61nEtAM is a Philippine-based blog with motoring news, car reviews, and more.","National Capital Region, Repub",144,2938,12088,2009-04-07 00:08:27,2020-07-06 04:00:05,0,"Tesla is now worth more than Toyota. #Tesla #CarGuidePH
https://t.co/cHltth5Wth","[{'text': 'Tesla', 'indices': [37, 43]}, {'text': 'CarGuidePH', 'indices': [44, 55]}]"
Reenath,The 2 most important days in your life are “The day you were born and the day you find out why”.,,121,145,38082,2011-07-01 11:18:35,2020-07-06 03:52:49,7,"NICE!!! @elonmusk can I have a pair!?! 
I've been waiting for these fashionable #Tesla  shorty shorts since 2018 😂✨ https://t.co/KwwDDqEnXI https://t.co/CbY3JuxgBa https://t.co/EJqOPsufW6","[{'text': 'Tesla', 'indices': [96, 102]}]"
teslacito,Escapee from Church of Elon Musk. Funding secured and financially delivered. Hodling $TSLA till $TSLAQ 📉,San Juan,398,221,9136,2018-08-09 17:34:05,2020-07-06 03:51:52,4,".⁦@elonmusk⁩ Elon Musk's ex-wife denies claims Ghislaine Maxwell procured her as a child bride for the @Tesla CEO

$TSLA $TSLAQ #Tesla #ElonMusk #GhislaineMaxwell  https://t.co/0vSEmsFjpQ",[]
notNautE,"Im lazy, selfish, crazy",,178,672,4962,2018-02-11 11:27:00,2020-07-06 03:51:40,0,short shorts for shorts #Tesla love the 69 420 reference. They must be slapping them selfs https://t.co/erWUoTHGoN,"[{'text': 'Tesla', 'indices': [24, 30]}]"
0pendragon,"Not affiliated with Pathetic twitter👎No Trump/ No Bidden ⚖
☀️Expose pedophilia #metoo
 📸Adventure🌐Advocacy
🎓💱
🖋️@0orion0_
🎨@pendragonark
F* Grimes/Musk🚫",Canada,76,568,1853,2018-10-18 20:16:43,2020-07-06 03:49:20,1,"@TESLAcharts @elonmusk Pedophilia too, as per my quick search.

It so happened am wearing shorts today in the privacy of my home.

Surely not espionage but yet another coincidence in my quite long list. #corruption #musk
#teslashorts #teslashortshorts #tesla #elonmusk #grimes #missanthropocene #spacex https://t.co/Rc9Ps0j8oy",[]
0pendragon,"Not affiliated with Pathetic twitter👎No Trump/ No Bidden ⚖
☀️Expose pedophilia #metoo
 📸Adventure🌐Advocacy
🎓💱
🖋️@0orion0_
🎨@pendragonark
F* Grimes/Musk🚫",Canada,76,568,1853,2018-10-18 20:16:43,2020-07-06 03:47:57,1,"@TESLAcharts @elonmusk Pedophilia too, as per my quick search.

It so happened am wearing shorts today in the privacy of my home.

Surely not espionage but yet another coincidence in my quite long list. #corruption #musk
#teslashorts #teslashortshorts #tesla #elonmusk #grimes #missanthropocene #spacex https://t.co/Rc9Ps0j8oy","[{'text': 'corruption', 'indices': [203, 214]}, {'text': 'musk', 'indices': [215, 220]}, {'text': 'teslashorts', 'indices': [221, 233]}, {'text': 'teslashortshorts', 'indices': [234, 251]}, {'text': 'tesla', 'indices': [252, 258]}, {'text': 'elonmusk', 'indices': [259, 268]}, {'text': 'grimes', 'indices': [269, 276]}, {'text': 'missanthropocene', 'indices': [277, 294]}, {'text': 'spacex', 'indices': [295, 302]}]"
day_dough,Options Trader,Bay Area ,25,2,4,2020-06-16 03:17:04,2020-07-06 03:47:12,0,#Tesla broken charger Milpitas Great mall https://t.co/2rN9A74E6s,"[{'text': 'Tesla', 'indices': [0, 6]}]"
landowski_greg,Stacking sats since 2017,"Chicago, IL",348,72,390,2017-09-18 14:35:36,2020-07-06 03:45:40,0,"Recharging at the new Superchargers by O'Hare!
@fly2ohare @Tesla @elonmusk #tesla https://t.co/A6upzmHAhv","[{'text': 'tesla', 'indices': [75, 81]}]"
ringo44,"We make a living by what we get, but we make a life by what we give. The Tao of Pooh and The Invisible Hand is my philosophy... caveat lector.","miami,fl",2050,479,40785,2009-04-10 03:31:28,2020-07-06 03:44:52,0,#Tesla industry lead growing as legacy automakers 'flail' on driverless cars: #Ark @CNBC https://t.co/HhjqLoxugb,"[{'text': 'Tesla', 'indices': [0, 6]}, {'text': 'Ark', 'indices': [78, 82]}]"
p_sehmi,"#TO #UK #TML #Raps #BLUEJAYS #SpaceX #Golfer #FOODIE #LOA #NTSB #Shunter #speedbird #Earth ☄
#TheBoringCompany #trucking #NFL #fcbarça #Messi #Sesh #Tesla  🇨🇦",,268,4,291,2020-06-08 11:48:28,2020-07-06 03:43:04,0,The future for all!! #Tesla https://t.co/F7V3lDD8os,"[{'text': 'Tesla', 'indices': [21, 27]}]"
chzchz8,.,,167,3,467,2020-03-24 07:54:00,2020-07-06 03:42:46,5,Tesla’s meteoric rise in the past year has left the other popular FAANG stocks and Microsoft way behind. #stocks #markets #economy #investing #financialservices #tesla #makemoney #faang #fang #microsoft #facebook #apple #amazon #alphabet #google #netflix https://t.co/VW2ivumTUd,"[{'text': 'stocks', 'indices': [124, 131]}]"
michaelpurvis64,A Small impact with No waves is what I used to be.                           Now I Am Angry As Hell And I Am Not Going To Take It Anyore!      World Voice Now!,"Pakenham, Victora, Australia",453,1716,310308,2015-04-06 10:03:58,2020-07-06 03:40:11,3,"#Tesla trumps Toyota, and signals end of Ice-Age for two trillion-dollar industries https://t.co/5Ct7E6XB7j","[{'text': 'Tesla', 'indices': [18, 24]}]"
GaryTeano,Melbourne aus 🇦🇺 | ₸≡sla | choochin’ since ‘85 ♻️🚦🌱 opinions are my own,,437,86,3581,2019-04-27 07:11:31,2020-07-06 03:39:52,3,"#Tesla trumps Toyota, and signals end of Ice-Age for two trillion-dollar industries https://t.co/5Ct7E6XB7j","[{'text': 'Tesla', 'indices': [18, 24]}]"
TheDriven_io,"Welcome to Australia’s premier website for news and analysis about  electric vehicles, and the transition to zero carbon, and quite possibly shared transport.",Australia,82,1322,2645,2018-08-27 04:03:34,2020-07-06 03:37:21,3,"#Tesla trumps Toyota, and signals end of Ice-Age for two trillion-dollar industries https://t.co/5Ct7E6XB7j","[{'text': 'Tesla', 'indices': [0, 6]}]"
Al_Maldives,,,7605,7031,523645,2012-02-23 11:46:13,2020-07-06 03:36:28,0,#Tesla's Next Mission: Cure Covid-19 | CarBuzz #Coronavirus #Covid19  https://t.co/zr5fc6R4gX,"[{'text': 'Tesla', 'indices': [0, 6]}, {'text': 'Coronavirus', 'indices': [47, 59]}, {'text': 'Covid19', 'indices': [60, 68]}]"
rodoabad,Humans first • Leadership is an exercise in love • Servant leader at @JohnDeere • Red Green Refactor • Opinions are my own and I write on https://t.co/mCbpDrrwf1,USA,45,87,6209,2008-10-13 22:13:44,2020-07-06 03:36:00,0,@elonmusk will we have more colors to choose from for #tesla vehicles?,"[{'text': 'tesla', 'indices': [54, 60]}]"
TenneseeFafard,Poker Player | Mr. Esports | Educator | Suits | ENTJ | BOBA | Live Poker Earnings: $6200,"Vancouver, BC",776,213,2207,2009-08-15 18:13:42,2020-07-06 03:33:32,0,Kind of sad I didn’t get the @Tesla short shorts for my girl 😢 hope they restock as stocks goes up! @elonmusk #tesla #shortshorts a,"[{'text': 'tesla', 'indices': [110, 116]}, {'text': 'shortshorts', 'indices': [117, 129]}]"
CTDGNAZ,"Truth, facts, science and integrity matter.",,624,90,665,2016-10-19 23:32:24,2020-07-06 03:28:02,1,Evening drives down red dirt roads excite every one of my senses. #tesla #teslatravels https://t.co/cTF0enSOgE,"[{'text': 'tesla', 'indices': [79, 85]}, {'text': 'teslatravels', 'indices': [86, 99]}]"
TradesGoode,"huntin fishin tradin

join https://t.co/wMbjn8mqKJ",,64,30,59,2019-12-31 02:17:14,2020-07-06 03:26:09,3,"$TSLA has been on a crazy run the last 2 months, capped off with 2Q delivery numbers last week, #Tesla looks a bit overextended to me. Likely won't try and short this beast though...lots of strength and hype right now https://t.co/21JPd0kNit","[{'text': 'Tesla', 'indices': [116, 122]}]"
Alfredo78184799,Tesla Savvy is a must watch YouTube channel! I believe in Teslas mission statement which is to accelerate the world's transition to sustainable energy.,,1,1,3,2020-07-04 14:47:45,2020-07-06 03:23:48,0,"Tesla's Battery Day ( 1 Million Mile Battery)
https://t.co/X4cNVTXKYw #Elonmusk #Tesla #Battery #batteryday Hitting the 1 mil! Wow! Learn more here! Click above!","[{'text': 'Elonmusk', 'indices': [70, 79]}, {'text': 'Tesla', 'indices': [80, 86]}, {'text': 'Battery', 'indices': [87, 95]}, {'text': 'batteryday', 'indices': [96, 107]}]"
JohnnaCrider0,Author at @CleanTechnica who makes jewelry has a cat and collects minerals. I tweet about 💎 jewelry Tesla and Elon Musk. https://t.co/vjqIsh38IG,"Baton Rouge, LA",527,6965,20045,2008-08-29 18:30:04,2020-07-06 03:23:24,7,"NICE!!! @elonmusk can I have a pair!?! 
I've been waiting for these fashionable #Tesla  shorty shorts since 2018 😂✨ https://t.co/KwwDDqEnXI https://t.co/CbY3JuxgBa https://t.co/EJqOPsufW6","[{'text': 'Tesla', 'indices': [96, 102]}]"
MB4maticAMG_SA,The New vision AMG and all class luxury cars.#CarsAwards #Daimler #MercedesBenz #AMG #TheBestOrNothing,Sun City:South Africa,208,785,47272,2019-09-25 10:59:09,2020-07-06 03:22:32,1,"@InsideEVs So if I get this right,
#Tesla = 400+ Superchargers in Europe
#BMW + #Daimler + #Ford + #VW + #Hyundai + #Kia = 250 fast chargers....
Thank goodness for Tesla.","[{'text': 'Tesla', 'indices': [53, 59]}, {'text': 'BMW', 'indices': [91, 95]}, {'text': 'Daimler', 'indices': [98, 106]}, {'text': 'Ford', 'indices': [109, 114]}, {'text': 'VW', 'indices': [117, 120]}, {'text': 'Hyundai', 'indices': [123, 131]}, {'text': 'Kia', 'indices': [134, 138]}]"
MB4maticAMG_SA,The New vision AMG and all class luxury cars.#CarsAwards #Daimler #MercedesBenz #AMG #TheBestOrNothing,Sun City:South Africa,208,785,47272,2019-09-25 10:59:09,2020-07-06 03:20:53,1,The Station: The startups edition https://t.co/80t9Q57tlp #electricvehicles #Automotive #Scooters #Daimler #Rivian #Tesla #JUMP #lime #Lyft,"[{'text': 'electricvehicles', 'indices': [77, 94]}, {'text': 'Automotive', 'indices': [95, 106]}, {'text': 'Scooters', 'indices': [107, 116]}, {'text': 'Daimler', 'indices': [117, 125]}, {'text': 'Rivian', 'indices': [126, 133]}]"
jpninjaandchase,"“I feel so strongly that deep and simple is far more essential than shallow and complex.” - Fred Rogers

Thank you Randall and Jae Park for the profile pic.",Bed. Asleep.,1352,87,2216,2009-04-10 18:57:32,2020-07-06 03:19:28,0,"Tesla has surpassed Toyota to become more valuable than the Japanese carmaker, but Tesla isn't actually worth more. https://t.co/3O6v7qSwwG #Tesla #Toyota #StockMarket #Automotive #Industry #Elon","[{'text': 'Tesla', 'indices': [140, 146]}, {'text': 'Toyota', 'indices': [147, 154]}, {'text': 'StockMarket', 'indices': [155, 167]}, {'text': 'Automotive', 'indices': [168, 179]}, {'text': 'Industry', 'indices': [180, 189]}, {'text': 'Elon', 'indices': [190, 195]}]"
letsplaygourav,,,804,107,32387,2010-09-04 06:42:11,2020-07-06 03:18:28,1,"It sold almost 400,000 vehicles last year, versus Toyota's 10.7 million, and is not yet profitable consistently enough to be in the S&amp;P 500. #Tesla @elonmusk",[]
letsplaygourav,,,804,107,32387,2010-09-04 06:42:11,2020-07-06 03:18:18,1,Despite founder Elon Musk's tweet that its share price was too high — which helped wipe $14 billion off Tesla's value in May — mounting investor interest in electric vehicles has driven a nearly five-fold market growth in capitalization over the past year. #Tesla @elonmusk,[]
letsplaygourav,,,804,107,32387,2010-09-04 06:42:11,2020-07-06 03:18:14,1,"Tesla has overtaken Toyota to become the most valuable carmaker in the world and announced Thursday that it had delivered 90,650 vehicles in the second quarter of the year, beating analyst expectations. #Tesla @elonmusk",[]
tomeyouaretrash,Lazy Trader,,269,36,547,2020-06-03 02:22:44,2020-07-06 03:17:57,0,@sivavaid @Keubiko @elonmusk @elonmusk  is funded by the US. He is the face of corporatism. They have re-branded their paramilitary wing of NASA with #SpaceX . They made him into a modern Iron Man to promote acceptance. #Tesla does the same in the software department while selling toys to rich nerds.,"[{'text': 'SpaceX', 'indices': [150, 157]}, {'text': 'Tesla', 'indices': [220, 226]}]"
matthewdarcio,#teslashortshorts,"New York, USA",130,40,208,2015-07-02 13:57:38,2020-07-06 03:15:39,3,@elonmusk how many days do i have to wear these to get a free tesla from you? #Tesla #SpaceX #elonmusk #giveaway #freecar #Cybertruck https://t.co/pOdqgyMZhy,"[{'text': 'Tesla', 'indices': [78, 84]}, {'text': 'SpaceX', 'indices': [85, 92]}, {'text': 'elonmusk', 'indices': [93, 102]}, {'text': 'giveaway', 'indices': [103, 112]}, {'text': 'freecar', 'indices': [113, 121]}, {'text': 'Cybertruck', 'indices': [122, 133]}]"
0pendragon,"Not affiliated with Pathetic twitter👎No Trump/ No Bidden ⚖
☀️Expose pedophilia #metoo
 📸Adventure🌐Advocacy
🎓💱
🖋️@0orion0_
🎨@pendragonark
F* Grimes/Musk🚫",Canada,76,568,1853,2018-10-18 20:16:43,2020-07-06 03:13:38,0,"@Benshooter It's messed, like they live in other world than others. Grimes followers have been replying and posting under my things like crazy saying it doesn't matter her racist, fascist, her artistic theft, the been musk doll, today add tweeting pedophilia. #grimes #elonmusk #tesla #spacex","[{'text': 'grimes', 'indices': [260, 267]}, {'text': 'elonmusk', 'indices': [268, 277]}, {'text': 'tesla', 'indices': [278, 284]}, {'text': 'spacex', 'indices': [285, 292]}]"
BostonDrei,“Best time to plant a tree was 20 years ago; second best time is right now”,"Boston, MA",3957,562,8800,2013-04-21 19:24:51,2020-07-06 03:12:24,14,Hilden #supercharger . #future The biggest chargingstation of Europe. Compliments #fastned #tesla https://t.co/eBlUFIDeHP,"[{'text': 'supercharger', 'indices': [28, 41]}, {'text': 'future', 'indices': [44, 51]}, {'text': 'fastned', 'indices': [103, 111]}, {'text': 'tesla', 'indices': [112, 118]}]"
teslaquadcities,Founder: Tesla Quad Cities (not an official club). Member: Tesla Owners Club Iowa. Please feel free to contact me.,Quad Cities (Iowa/Illinois),532,411,2352,2019-04-03 01:05:00,2020-07-06 03:12:21,2,"While waiting for minor maintenance on Que, my Model 3, I met the owners picking up this Model Y. Great couple! Check out the side-by-side with this Model 3! I'm tempted! At Tesla, Westmont, IL. #Tesla @TesLatino @BLKMDL3 @DirtyTesla @elonmusk @28delayslater https://t.co/boNaCdoeiB",[]
DirtyTesla,https://t.co/lbmopqDIRQ,,282,3516,12526,2019-04-17 19:17:55,2020-07-06 03:11:20,2,"While waiting for minor maintenance on Que, my Model 3, I met the owners picking up this Model Y. Great couple! Check out the side-by-side with this Model 3! I'm tempted! At Tesla, Westmont, IL. #Tesla @TesLatino @BLKMDL3 @DirtyTesla @elonmusk @28delayslater https://t.co/boNaCdoeiB",[]
4kushner,,,826,303,19443,2011-06-19 09:56:55,2020-07-06 03:09:24,4,".⁦@elonmusk⁩ Elon Musk's ex-wife denies claims Ghislaine Maxwell procured her as a child bride for the @Tesla CEO

$TSLA $TSLAQ #Tesla #ElonMusk #GhislaineMaxwell  https://t.co/0vSEmsFjpQ",[]
0pendragon,"Not affiliated with Pathetic twitter👎No Trump/ No Bidden ⚖
☀️Expose pedophilia #metoo
 📸Adventure🌐Advocacy
🎓💱
🖋️@0orion0_
🎨@pendragonark
F* Grimes/Musk🚫",Canada,76,568,1853,2018-10-18 20:16:43,2020-07-06 03:07:26,1,"@Benshooter @ghost_scot @elonmusk China is communist is it not? Also, wasn't Grimes boasting on fascism &amp; proceeded to rip off my art, my life etc to present, worse than before I called her out in her fascist tweet?
Espionage issue. Martin Tripp &amp; Karl Hansen exposed things, am too going through. #tesla #elonmusk",[]
0pendragon,"Not affiliated with Pathetic twitter👎No Trump/ No Bidden ⚖
☀️Expose pedophilia #metoo
 📸Adventure🌐Advocacy
🎓💱
🖋️@0orion0_
🎨@pendragonark
F* Grimes/Musk🚫",Canada,76,568,1853,2018-10-18 20:16:43,2020-07-06 03:07:11,1,"@Benshooter @ghost_scot @elonmusk China is communist is it not? Also, wasn't Grimes boasting on fascism &amp; proceeded to rip off my art, my life etc to present, worse than before I called her out in her fascist tweet?
Espionage issue. Martin Tripp &amp; Karl Hansen exposed things, am too going through. #tesla #elonmusk","[{'text': 'tesla', 'indices': [306, 312]}, {'text': 'elonmusk', 'indices': [313, 322]}]"
